claim	article_url	video_url	autres_candidats
Des manifestants ont pénétré dans l'enceinte du parlement israélien pour réclamer des comptes au gouvernement 	https://www.tf1info.fr/international/guerre-israel-hamas-la-knesset-le-parlement-israelien-envahi-par-des-manifestants-ce-que-l-on-sait-de-ces-scenes-de-chaos-2294415.html	https://twitter.com/PBlanrue/status/1775534759243899094	
Un immigré musulman urine sur des produits à base de porc dans un supermarché aux Pays-Bas.	https://dpa-factchecking.com/belgium/240105-99-503915	https://www.tiktok.com/@buurtwachtt/video/7312437102883507488	https://twitter.com/AssarafS/status/1737189378139533667; https://twitter.com/JPeterBurger/status/1736821841228955709; https://www.youtube.com/watch?v=fClZfAZRGDM
Une vidéo virale montre des électeurs RN décomposés et en colère après le second tour des législatives	https://www.tf1info.fr/elections/resultat-election-legislative-non-cette-video-virale-ne-montre-pas-la-reaction-d-electeurs-du-rn-au-soir-du-second-tour-2307606.html	https://x.com/brk_4k/status/1810021968206590314	https://youtu.be/JBj7wqitVIo
Cette vidéo montre une touriste se faire attaquée par une girafe lors d'un safari.	https://www.tf1info.fr/high-tech/verif-cette-video-montre-t-elle-vraiment-l-enlevement-d-une-touriste-par-une-girafe-2410384.html		
Cette vidéo montre Hannelore Kaufmann, née en 1931 à Berlin, victime du Holocaust	https://dpa-factchecking.com/belgium/250624-99-254790	https://www.facebook.com/meilleursamis8/videos/1273283827699036	https://www.facebook.com/Planeteincroyable/videos/1370446777720199
Une vidéo d'Erling Halland se faisant peur à lui-même	https://factuel.afp.com/doc.afp.com.B9DA49M		
Voici une vidéo d'Erling Haaland se faisant peur à lui-même	https://factuel.afp.com/doc.afp.com.B9LT6CQ		
Une vidéo virale sur X montre une "racaille" se faire "humilier", éjectée à coup de pied d'un wagon du métro p	https://www.tf1info.fr/societe/verif-cette-video-virale-montre-t-elle-vraiment-un-delinquant-se-faire-humilier-dans-le-metro-parisien-2356790.html	https://x.com/stillgray/status/1895078536374833473	https://www.instagram.com/reel/DEAQmgDt4z8
Une vidéo montre un bureau de la Citibank frappé par un drone iranien à Dubaï.	https://factuel.afp.com/doc.afp.com.A6LH763		
Aux Etats-Unis, des militants s'en prennent aux policiers, comme on peut le voir sur cette vidéo.	https://dpa-factchecking.com/belgium/250612-99-142247	https://www.tiktok.com/@actanews/video/7513959589424008470	https://www.facebook.com/100075789950246/videos/1508785903432994; https://www.youtube.com/watch?v=0hUj4vXuIrM; https://youtu.be/0hUj4vXuIrM
Une vidéo montre des Algériens célébrer la défaite du Maroc en finale de la CAN-2025	https://www.tf1info.fr/sport/verif-virale-cette-video-montre-t-elle-vraiment-des-celebrations-algeriennes-apres-la-defaite-du-maroc-a-la-can-2419521.html	https://www.tiktok.com/@eakmed/video/7595367400187481366	
Une vidéo du nouveau Premier ministre britannique expulsé d'un pub	https://factuel.afp.com/doc.afp.com.36EH6WV	https://x.com/camille_moscow/status/1824106434876826091	https://www.youtube.com/embed/v-phbvbk3G4; https://www.youtube.com/watch?v=jyoDJ1Fk47E; https://x.com/theravenofbath/status/1384148638427848711
Une vidéo d'une formation nuageuse singulière en lien avec l'ouragan Milton et le projet HAARP	https://factuel.afp.com/doc.afp.com.36JT6BX	https://x.com/brain_stimulus/status/1843190018816528564	https://youtu.be/-9z-zQJSUL4; https://www.facebook.com/andrew.farnam.9/videos/10158110180868144
Un tableau de Cézanne dérobé il y a un mois dans un musée en Italie a été aperçu dans une vidéo postée par Zel	https://dpa-factchecking.com/belgium/260427-99-253161	https://www.youtube.com/watch?v=VSPwPaNlFDw	https://www.tiktok.com/@vladdimir619/video/7631846690160479510
En Pennsylvanie, des vidéos prouvent une tentative de fraude électorale à grande échelle pour faire basculer c	https://www.tf1info.fr/election-presidentielle-americaine/presidentielle-americaine-2024-en-pennsylvanie-les-fausses-accusations-de-fraude-sement-le-doute-dans-cet-etat-cle-2332413.html		
Cette vidéo montre la chute de Liam Payne depuis son hôtel en Argentine	https://www.20minutes.fr/arts-stars/people/4116085-20241017-mort-liam-payne-attention-fausse-video-chute-chanteur-circule		
La vidéo montre des migrants arriver illégalement en Espagne en 2026	https://factuel.afp.com/doc.afp.com.A9Q24ZQ		
Un ministre camerounais tient des propos incohérents sur le vice-président	https://factuel.afp.com/doc.afp.com.A8UK9KE		
Une vidéo de soutien après l'attaque près de Moscou le 22 mars 2024	https://factuel.afp.com/doc.afp.com.34M44RT	https://twitter.com/SectionidfRs/status/1771659061861163429	
